DATE,Sample ID,Result Parameter Name,Result Value,Result Value Units,Sample Matrix,Measured,Result (ug/L),No_Detect
2023-06-19 00:00:00,DWS-4,Fluorene,0.0024,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5A,Fluorene,0.004,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5B,Fluorene,0.0031,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5C,Fluorene,0.0023,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-6,Fluorene,0.011,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-4,"Indeno(1,2,3-cd)pyrene",0.0364,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5A,"Indeno(1,2,3-cd)pyrene",0.0069,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5B,"Indeno(1,2,3-cd)pyrene",0.0054,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5C,"Indeno(1,2,3-cd)pyrene",0.0039,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-6,"Indeno(1,2,3-cd)pyrene",0.0581,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-4,Naphthalene,0.002,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5A,Naphthalene,0.0084,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5B,Naphthalene,0.0025,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5C,Naphthalene,0.0018,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-6,Naphthalene,0.0041,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-4,Phenanthrene,0.0316,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5A,Phenanthrene,0.0115,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5B,Phenanthrene,0.003,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5C,Phenanthrene,0.0022,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-6,Phenanthrene,0.178,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-4,Pyrene,0.0489,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5A,Pyrene,0.0048,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5B,Pyrene,0.0038,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5C,Pyrene,0.0028,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-6,Pyrene,0.185,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-4,2-Fluorobiphenyl (S) %,67.0,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5A,2-Fluorobiphenyl (S) %,64.0,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5B,2-Fluorobiphenyl (S) %,44.0,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5C,2-Fluorobiphenyl (S) %,75.0,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-6,2-Fluorobiphenyl (S) %,47.0,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-4,Terphenyl-d14 (S) %,71.0,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5A,Terphenyl-d14 (S) %,62.0,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5B,Terphenyl-d14 (S) %,46.0,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5C,Terphenyl-d14 (S) %,82.0,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-6,Terphenyl-d14 (S) %,48.0,mg/kg,Soil,,,0
